concept1	concept2	correctclass	ledaclass	conf
WaterwayTunnel	Continent	+	-	0.480368
AustralianFootballLeague	BasketballTeam	+	-	0.111822
BroadcastNetwork	Locomotive	+	-	0.480368
GolfPlayer	Weapon	+	-	0.480368
Activity	ProtectedArea	+	-	0.480368
Cricketer	Bacteria	+	-	0.128685
Song	InlineHockeyLeague	+	-	0.480368
CollegeCoach	Continent	+	-	0.111822
LacrosseLeague	Ginkgo	+	-	0.480368
Game	Musical	+	+	0.520253
Settlement	RecordLabel	+	-	0.480368
Company	RecordLabel	-	-	0.072351
Fish	Saint	+	+	0.520253
MusicalWork	NascarDriver	+	-	0.480368
Activity	VolleyballLeague	+	-	0.480368
SportsEvent	GreenAlga	+	-	0.480368
TennisPlayer	Village	+	-	0.480368
Stream	Work	+	+	0.520253
President	HistoricPlace	+	-	0.480368
Election	PeriodicalLiterature	+	-	0.480368
Colour	IceHockeyPlayer	+	-	0.111822
Cricketer	Ship	+	+	0.520253
Bacteria	Legislature	+	+	0.520253
Amphibian	GrandPrix	+	-	0.480368
FootballMatch	Tunnel	+	-	0.480368
Library	Bridge	+	+	0.520253
Species	Canal	+	+	0.520253
SpaceStation	CanadianFootballLeague	+	-	0.480368
Architect	Activity	+	-	0.059116
Lake	YearInSpaceflight	+	-	0.480368
Philosopher	SportsLeague	+	-	0.480368
SoftballLeague	PublicTransitSystem	+	-	0.480368
MartialArtist	Politician	-	-	0.480368
PeriodicalLiterature	Park	+	-	0.480368
SpaceStation	AdministrativeRegion	+	-	0.111822
Gnetophytes	TelevisionEpisode	+	-	0.480368
Organisation	Device	+	-	0.315694
Ambassador	Fish	+	+	0.520253
ResearchProject	MotorcycleRacingLeague	+	-	0.480368
Fish	NascarDriver	+	-	0.480368
Stream	ChemicalCompound	+	-	0.480368
Fern	TradeUnion	+	-	0.111822
AdultActor	SportsTeam	+	-	0.480368
Grape	YearInSpaceflight	+	-	0.480368
Country	Journalist	+	-	0.315694
FootballMatch	Film	+	-	0.111822
Rocket	AcademicJournal	+	-	0.480368
Mollusca	Band	+	+	0.520253
Bone	MusicGenre	+	-	0.111822
Device	EducationalInstitution	+	-	0.480368
Artist	BaseballLeague	+	-	0.480368
SportsTeam	Cleric	+	-	0.480368
Boxer	MountainRange	+	-	0.480368
PopulatedPlace	IceHockeyLeague	+	-	0.480368
EducationalInstitution	Scientist	+	-	0.480368
Disease	Grape	+	-	0.128685
Country	Cricketer	+	-	0.128685
SupremeCourtOfTheUnitedStatesCase	Airline	+	-	0.480368
WaterwayTunnel	Olympics	+	-	0.480368
Cave	LacrosseLeague	+	-	0.111822
MusicalWork	Bacteria	+	-	0.480368
Legislature	Infrastructure	+	-	0.128685
SnookerChamp	Vein	+	-	0.480368
Person	BasketballPlayer	-	-	0.072351
IceHockeyPlayer	Newspaper	+	-	0.111822
GolfLeague	SoccerClub	+	-	0.480368
School	Olympics	+	+	0.520253
AdultActor	WrestlingEvent	+	-	0.480368
ResearchProject	BasketballLeague	+	-	0.480368
TennisLeague	PersonFunction	+	-	0.480368
Journalist	TennisPlayer	-	-	0.480368
Place	Village	-	-	0.005273
FloweringPlant	LacrosseLeague	+	-	0.480368
SpaceStation	Planet	+	-	0.480368
Website	Locomotive	+	-	0.128685
TradeUnion	HistoricPlace	+	-	0.480368
College	ComicsCreator	+	-	0.111822
Eukaryote	Continent	+	+	0.520253
Mayor	Bone	+	+	0.520253
BasketballTeam	MusicFestival	+	-	0.480368
Band	AcademicJournal	+	-	0.480368
LaunchPad	Vein	+	+	0.520253
AcademicJournal	Disease	+	-	0.480368
Work	Archaea	+	-	0.480368
Nerve	ProgrammingLanguage	+	-	0.480368
Artery	MixedMartialArtsEvent	+	-	0.480368
Artery	GrandPrix	+	-	0.480368
IceHockeyLeague	SportsTeam	+	-	0.480368
GrandPrix	Ship	+	-	0.480368
SoccerLeague	BadmintonPlayer	+	-	0.480368
Website	Place	+	-	0.128685
MilitaryUnit	PrimeMinister	+	-	0.480368
Hotel	WineRegion	+	-	0.480368
SnookerWorldRanking	Boxer	+	-	0.480368
Spacecraft	Bacteria	+	+	0.520253
Species	Monument	+	+	0.520253
Muscle	SkiArea	+	-	0.480368
Fungus	MartialArtist	+	-	0.480368
ChemicalSubstance	AmericanFootballTeam	+	-	0.480368
Broadcaster	ClubMoss	+	-	0.480368
RadioStation	BroadcastNetwork	+	-	0.480368
Broadcaster	SkiArea	+	-	0.480368
Bird	MixedMartialArtsEvent	+	-	0.480368
VideogamesLeague	IceHockeyPlayer	+	-	0.480368
Lake	WrittenWork	+	-	0.480368
MusicFestival	BaseballPlayer	+	-	0.480368
Restaurant	Play	+	+	0.520253
MusicFestival	ArchitecturalStructure	+	-	0.480368
Artist	AustralianRulesFootballPlayer	-	-	0.480368
RecordLabel	Fungus	+	-	0.480368
ChemicalCompound	SkiArea	+	-	0.480368
RouteOfTransportation	Weapon	+	-	0.111822
ProgrammingLanguage	AustralianFootballLeague	+	-	0.480368
Cardinal	Embryology	+	+	0.520253
Mollusca	Cleric	+	+	0.520253
FootballMatch	Mayor	+	-	0.480368
FilmFestival	Band	+	-	0.480368
Museum	BiologicalDatabase	+	-	0.480368
RailwayTunnel	AdministrativeRegion	+	-	0.480368
Road	AustralianFootballLeague	+	-	0.480368
AnatomicalStructure	Comedian	+	-	0.480368
Cricketer	GivenName	+	-	0.480368
Mayor	SupremeCourtOfTheUnitedStatesCase	+	-	0.480368
Saint	GovernmentAgency	+	-	0.480368
BadmintonPlayer	Game	+	-	0.480368
ClubMoss	WrestlingEvent	+	-	0.480368
ChristianBishop	Name	+	-	0.480368
Village	Device	+	-	0.128685
LaunchPad	GrandPrix	+	-	0.480368
MusicFestival	Plant	+	-	0.480368
PoloLeague	EducationalInstitution	+	-	0.480368
SpeedwayLeague	AutoRacingLeague	+	-	0.111822
RoadTunnel	Band	+	-	0.480368
BroadcastNetwork	SportsLeague	+	-	0.480368
Database	Cricketer	+	+	0.520253
Lake	HandballLeague	+	-	0.111822
AmericanFootballPlayer	Race	+	-	0.480368
University	AmericanFootballPlayer	+	-	0.480368
ChemicalSubstance	Building	+	-	0.480368
Boxer	InlineHockeyLeague	+	-	0.480368
Village	OlympicResult	+	-	0.480368
Work	SoccerLeague	+	-	0.480368
MeanOfTransportation	FloweringPlant	+	-	0.480368
PersonFunction	BasketballLeague	+	-	0.480368
MusicalWork	Planet	+	-	0.480368
MilitaryConflict	Work	+	-	0.480368
Database	Country	+	+	0.520253
YearInSpaceflight	Food	+	-	0.480368
PrimeMinister	SkiArea	+	-	0.480368
Congressman	MilitaryPerson	-	-	0.480368
PlayboyPlaymate	ArchitecturalStructure	+	-	0.480368
Website	Model	+	+	0.520253
Hotel	Airline	+	+	0.520253
Actor	Infrastructure	+	-	0.315694
Project	Cycad	+	+	0.520253
Species	Book	+	+	0.520253
Fungus	Criminal	+	+	0.520253
MilitaryUnit	Musical	+	-	0.111822
WomensTennisAssociationTournament	Holiday	+	-	0.480368
Ambassador	Work	+	+	0.520253
Moss	Island	+	+	0.520253
SportsEvent	TradeUnion	+	-	0.480368
Scientist	Newspaper	+	+	0.520253
SpeedwayLeague	Cycad	+	-	0.480368
SportsEvent	NascarDriver	+	-	0.480368
SportsTeam	Activity	+	-	0.480368
Brain	Senator	+	+	0.520253
WrittenWork	MartialArtist	+	-	0.480368
Athlete	Software	+	-	0.128685
Bone	BaseballPlayer	+	-	0.111822
Amphibian	SpaceMission	+	-	0.111822
Airline	ArchitecturalStructure	+	-	0.111822
GivenName	MountainRange	+	-	0.111822
MartialArtist	Automobile	+	-	0.480368
Saint	Criminal	-	-	0.315694
HandballLeague	Airline	+	-	0.111822
LunarCrater	Athlete	+	-	0.480368
Bridge	Moss	+	+	0.520253
Newspaper	LacrosseLeague	+	-	0.480368
MountainRange	FilmFestival	+	-	0.480368
Museum	Company	+	-	0.315694
Book	Island	+	-	0.315694
Museum	Project	+	+	0.520253
ChemicalCompound	Activity	+	-	0.480368
FormulaOneRacer	PersonFunction	+	-	0.480368
Athlete	BasketballPlayer	-	-	0.072351
