concept1	concept2	correctclass	ledaclass	conf
WaterwayTunnel	Continent	+	+	0.649562
AustralianFootballLeague	BasketballTeam	+	+	0.512722
BroadcastNetwork	Locomotive	+	+	0.649562
GolfPlayer	Weapon	+	+	0.649562
Activity	ProtectedArea	+	+	0.649562
Cricketer	Bacteria	+	+	0.649562
Song	InlineHockeyLeague	+	+	0.649562
CollegeCoach	Continent	+	+	0.620871
LacrosseLeague	Ginkgo	+	+	0.649562
Game	Musical	+	+	0.649562
Settlement	RecordLabel	+	+	0.649562
Company	RecordLabel	-	+	0.649562
Fish	Saint	+	+	0.649562
MusicalWork	NascarDriver	+	+	0.649562
Activity	VolleyballLeague	+	+	0.649562
SportsEvent	GreenAlga	+	+	0.649562
TennisPlayer	Village	+	+	0.649562
Stream	Work	+	+	0.649562
President	HistoricPlace	+	+	0.649562
Election	PeriodicalLiterature	+	+	0.649562
Colour	IceHockeyPlayer	+	+	0.649562
Cricketer	Ship	+	+	0.649562
Bacteria	Legislature	+	+	0.649562
Amphibian	GrandPrix	+	+	0.649562
FootballMatch	Tunnel	+	+	0.649562
Library	Bridge	+	+	0.649562
Species	Canal	+	+	0.671556
SpaceStation	CanadianFootballLeague	+	+	0.649562
Architect	Activity	+	+	0.620871
Lake	YearInSpaceflight	+	+	0.649562
Philosopher	SportsLeague	+	+	0.649562
SoftballLeague	PublicTransitSystem	+	+	0.720403
MartialArtist	Politician	-	+	0.649562
PeriodicalLiterature	Park	+	+	0.649562
SpaceStation	AdministrativeRegion	+	+	0.649562
Gnetophytes	TelevisionEpisode	+	+	0.649562
Organisation	Device	+	+	0.620871
Ambassador	Fish	+	+	0.649562
ResearchProject	MotorcycleRacingLeague	+	+	0.649562
Fish	NascarDriver	+	+	0.649562
Stream	ChemicalCompound	+	+	0.720403
Fern	TradeUnion	+	+	0.512722
AdultActor	SportsTeam	+	+	0.649562
Grape	YearInSpaceflight	+	+	0.512722
Country	Journalist	+	+	0.649562
FootballMatch	Film	+	+	0.649562
Rocket	AcademicJournal	+	+	0.649562
Mollusca	Band	+	+	0.649562
Bone	MusicGenre	+	+	0.649562
Device	EducationalInstitution	+	+	0.649562
Artist	BaseballLeague	+	+	0.512722
SportsTeam	Cleric	+	+	0.649562
Boxer	MountainRange	+	+	0.649562
PopulatedPlace	IceHockeyLeague	+	+	0.649562
EducationalInstitution	Scientist	+	+	0.649562
Disease	Grape	+	-	0.410777
Country	Cricketer	+	+	0.649562
SupremeCourtOfTheUnitedStatesCase	Airline	+	+	0.649562
WaterwayTunnel	Olympics	+	+	0.649562
Cave	LacrosseLeague	+	+	0.649562
MusicalWork	Bacteria	+	+	0.649562
Legislature	Infrastructure	+	+	0.649562
SnookerChamp	Vein	+	+	0.649562
Person	BasketballPlayer	-	+	0.649562
IceHockeyPlayer	Newspaper	+	+	0.649562
GolfLeague	SoccerClub	+	+	0.649562
School	Olympics	+	+	0.649562
AdultActor	WrestlingEvent	+	+	0.649562
ResearchProject	BasketballLeague	+	+	0.649562
TennisLeague	PersonFunction	+	+	0.649562
Journalist	TennisPlayer	-	+	0.649562
Place	Village	-	+	0.620871
FloweringPlant	LacrosseLeague	+	+	0.649562
SpaceStation	Planet	+	+	0.649562
Website	Locomotive	+	+	0.649562
TradeUnion	HistoricPlace	+	+	0.649562
College	ComicsCreator	+	+	0.649562
Eukaryote	Continent	+	+	0.649562
Mayor	Bone	+	+	0.649562
BasketballTeam	MusicFestival	+	+	0.649562
Band	AcademicJournal	+	+	0.649562
LaunchPad	Vein	+	+	0.649562
AcademicJournal	Disease	+	+	0.649562
Work	Archaea	+	+	0.649562
Nerve	ProgrammingLanguage	+	+	0.649562
Artery	MixedMartialArtsEvent	+	+	0.649562
Artery	GrandPrix	+	+	0.649562
IceHockeyLeague	SportsTeam	+	+	0.649562
GrandPrix	Ship	+	+	0.649562
SoccerLeague	BadmintonPlayer	+	+	0.649562
Website	Place	+	+	0.620871
MilitaryUnit	PrimeMinister	+	+	0.649562
Hotel	WineRegion	+	+	0.649562
SnookerWorldRanking	Boxer	+	+	0.649562
Spacecraft	Bacteria	+	+	0.694787
Species	Monument	+	+	0.512722
Muscle	SkiArea	+	+	0.649562
Fungus	MartialArtist	+	+	0.671556
ChemicalSubstance	AmericanFootballTeam	+	+	0.649562
Broadcaster	ClubMoss	+	+	0.649562
RadioStation	BroadcastNetwork	+	+	0.649562
Broadcaster	SkiArea	+	+	0.649562
Bird	MixedMartialArtsEvent	+	+	0.649562
VideogamesLeague	IceHockeyPlayer	+	+	0.649562
Lake	WrittenWork	+	+	0.649562
MusicFestival	BaseballPlayer	+	+	0.649562
Restaurant	Play	+	+	0.649562
MusicFestival	ArchitecturalStructure	+	+	0.649562
Artist	AustralianRulesFootballPlayer	-	+	0.649562
RecordLabel	Fungus	+	+	0.649562
ChemicalCompound	SkiArea	+	+	0.649562
RouteOfTransportation	Weapon	+	+	0.649562
ProgrammingLanguage	AustralianFootballLeague	+	+	0.720403
Cardinal	Embryology	+	+	0.649562
Mollusca	Cleric	+	+	0.649562
FootballMatch	Mayor	+	+	0.649562
