concept1	concept2	correctclass	ledaclass	conf
WaterwayTunnel	Continent	+	+	0.694679
AustralianFootballLeague	BasketballTeam	+	+	0.694679
BroadcastNetwork	Locomotive	+	+	0.694679
GolfPlayer	Weapon	+	+	0.694679
Activity	ProtectedArea	+	+	0.694679
Cricketer	Bacteria	+	+	0.705867
Song	InlineHockeyLeague	+	+	0.694679
CollegeCoach	Continent	+	+	0.694679
LacrosseLeague	Ginkgo	+	+	0.694679
Game	Musical	+	+	0.505541
Settlement	RecordLabel	+	+	0.694679
Company	RecordLabel	-	-	0.165610
Fish	Saint	+	+	0.720180
MusicalWork	NascarDriver	+	+	0.694679
Activity	VolleyballLeague	+	+	0.694679
SportsEvent	GreenAlga	+	+	0.694679
TennisPlayer	Village	+	+	0.694679
Stream	Work	+	+	0.720180
President	HistoricPlace	+	+	0.694679
Election	PeriodicalLiterature	+	+	0.694679
Colour	IceHockeyPlayer	+	+	0.694679
Cricketer	Ship	+	+	0.904220
Bacteria	Legislature	+	+	0.969250
Amphibian	GrandPrix	+	+	0.694679
FootballMatch	Tunnel	+	+	0.694679
Library	Bridge	+	+	0.720180
Species	Canal	+	+	0.995573
SpaceStation	CanadianFootballLeague	+	+	0.694679
Architect	Activity	+	-	0.363317
Lake	YearInSpaceflight	+	+	0.694679
Philosopher	SportsLeague	+	+	0.694679
SoftballLeague	PublicTransitSystem	+	+	0.694679
MartialArtist	Politician	-	+	0.694679
PeriodicalLiterature	Park	+	+	0.694679
SpaceStation	AdministrativeRegion	+	+	0.547097
Gnetophytes	TelevisionEpisode	+	+	0.694679
Organisation	Device	+	-	0.363317
Ambassador	Fish	+	+	0.720180
ResearchProject	MotorcycleRacingLeague	+	+	0.694679
Fish	NascarDriver	+	+	0.694679
Stream	ChemicalCompound	+	+	0.694679
Fern	TradeUnion	+	+	0.694679
AdultActor	SportsTeam	+	+	0.694679
Grape	YearInSpaceflight	+	+	0.694679
Country	Journalist	+	+	0.691816
FootballMatch	Film	+	+	0.694679
Rocket	AcademicJournal	+	+	0.694679
Mollusca	Band	+	+	0.705867
Bone	MusicGenre	+	+	0.694679
Device	EducationalInstitution	+	+	0.694679
Artist	BaseballLeague	+	+	0.694679
SportsTeam	Cleric	+	+	0.694679
Boxer	MountainRange	+	+	0.694679
PopulatedPlace	IceHockeyLeague	+	+	0.694679
EducationalInstitution	Scientist	+	+	0.694679
Disease	Grape	+	+	0.969250
Country	Cricketer	+	+	0.904220
SupremeCourtOfTheUnitedStatesCase	Airline	+	+	0.694679
WaterwayTunnel	Olympics	+	+	0.694679
Cave	LacrosseLeague	+	+	0.694679
MusicalWork	Bacteria	+	+	0.694679
Legislature	Infrastructure	+	+	0.833672
SnookerChamp	Vein	+	+	0.694679
Person	BasketballPlayer	-	-	0.165610
IceHockeyPlayer	Newspaper	+	+	0.694679
GolfLeague	SoccerClub	+	+	0.694679
School	Olympics	+	+	0.986344
AdultActor	WrestlingEvent	+	+	0.694679
ResearchProject	BasketballLeague	+	+	0.694679
TennisLeague	PersonFunction	+	+	0.694679
Journalist	TennisPlayer	-	+	0.694679
Place	Village	-	-	0.047419
FloweringPlant	LacrosseLeague	+	+	0.694679
SpaceStation	Planet	+	+	0.694679
Website	Locomotive	+	+	0.705867
TradeUnion	HistoricPlace	+	+	0.694679
College	ComicsCreator	+	+	0.694679
Eukaryote	Continent	+	+	0.705867
Mayor	Bone	+	+	0.910110
BasketballTeam	MusicFestival	+	+	0.694679
Band	AcademicJournal	+	+	0.694679
LaunchPad	Vein	+	+	0.705867
AcademicJournal	Disease	+	+	0.694679
Work	Archaea	+	+	0.694679
Nerve	ProgrammingLanguage	+	+	0.694679
Artery	MixedMartialArtsEvent	+	+	0.694679
Artery	GrandPrix	+	+	0.694679
IceHockeyLeague	SportsTeam	+	+	0.694679
GrandPrix	Ship	+	+	0.694679
SoccerLeague	BadmintonPlayer	+	+	0.694679
Website	Place	+	+	0.904220
MilitaryUnit	PrimeMinister	+	+	0.694679
Hotel	WineRegion	+	+	0.694679
SnookerWorldRanking	Boxer	+	+	0.694679
Spacecraft	Bacteria	+	+	0.705867
Species	Monument	+	+	0.969250
Muscle	SkiArea	+	+	0.694679
Fungus	MartialArtist	+	+	0.694679
ChemicalSubstance	AmericanFootballTeam	+	+	0.694679
Broadcaster	ClubMoss	+	+	0.694679
RadioStation	BroadcastNetwork	+	+	0.694679
Broadcaster	SkiArea	+	+	0.694679
Bird	MixedMartialArtsEvent	+	+	0.694679
VideogamesLeague	IceHockeyPlayer	+	+	0.694679
Lake	WrittenWork	+	+	0.694679
MusicFestival	BaseballPlayer	+	+	0.694679
Restaurant	Play	+	+	0.969250
MusicFestival	ArchitecturalStructure	+	+	0.694679
Artist	AustralianRulesFootballPlayer	-	+	0.694679
RecordLabel	Fungus	+	+	0.694679
ChemicalCompound	SkiArea	+	+	0.694679
RouteOfTransportation	Weapon	+	+	0.694679
ProgrammingLanguage	AustralianFootballLeague	+	+	0.694679
Cardinal	Embryology	+	+	0.967095
Mollusca	Cleric	+	+	0.967095
FootballMatch	Mayor	+	+	0.694679
FilmFestival	Band	+	+	0.694679
Museum	BiologicalDatabase	+	+	0.694679
RailwayTunnel	AdministrativeRegion	+	+	0.694679
Road	AustralianFootballLeague	+	+	0.694679
AnatomicalStructure	Comedian	+	+	0.694679
Cricketer	GivenName	+	+	0.694679
Mayor	SupremeCourtOfTheUnitedStatesCase	+	+	0.694679
Saint	GovernmentAgency	+	+	0.694679
BadmintonPlayer	Game	+	+	0.694679
ClubMoss	WrestlingEvent	+	+	0.694679
ChristianBishop	Name	+	+	0.694679
Village	Device	+	+	0.691816
LaunchPad	GrandPrix	+	+	0.694679
MusicFestival	Plant	+	+	0.694679
