concept1	concept2	correctclass	ledaclass	conf
WaterwayTunnel	Continent	+	+	0.666200
AustralianFootballLeague	BasketballTeam	+	+	0.666200
BroadcastNetwork	Locomotive	+	+	0.666200
GolfPlayer	Weapon	+	+	0.666200
Activity	ProtectedArea	+	+	0.666200
Cricketer	Bacteria	+	+	0.576393
Song	InlineHockeyLeague	+	+	0.666200
CollegeCoach	Continent	+	+	0.666200
LacrosseLeague	Ginkgo	+	+	0.666200
Game	Musical	+	+	0.532560
Settlement	RecordLabel	+	+	0.666200
Company	RecordLabel	-	+	0.666200
Fish	Saint	+	+	0.841947
MusicalWork	NascarDriver	+	+	0.666200
Activity	VolleyballLeague	+	+	0.666200
SportsEvent	GreenAlga	+	+	0.666200
TennisPlayer	Village	+	+	0.666200
Stream	Work	+	-	0.456360
President	HistoricPlace	+	+	0.666200
Election	PeriodicalLiterature	+	+	0.666200
Colour	IceHockeyPlayer	+	+	0.666200
Cricketer	Ship	+	+	0.783079
Bacteria	Legislature	+	+	0.978717
Amphibian	GrandPrix	+	+	0.666200
FootballMatch	Tunnel	+	+	0.666200
Library	Bridge	+	+	0.675950
Species	Canal	+	+	0.978717
SpaceStation	CanadianFootballLeague	+	+	0.666200
Architect	Activity	+	-	0.400536
Lake	YearInSpaceflight	+	+	0.666200
Philosopher	SportsLeague	+	+	0.666200
SoftballLeague	PublicTransitSystem	+	+	0.666200
MartialArtist	Politician	-	+	0.666200
PeriodicalLiterature	Park	+	+	0.666200
SpaceStation	AdministrativeRegion	+	+	0.507089
Gnetophytes	TelevisionEpisode	+	+	0.666200
Organisation	Device	+	-	0.211909
Ambassador	Fish	+	+	0.841947
ResearchProject	MotorcycleRacingLeague	+	+	0.666200
Fish	NascarDriver	+	+	0.666200
Stream	ChemicalCompound	+	+	0.666200
Fern	TradeUnion	+	+	0.666200
AdultActor	SportsTeam	+	+	0.666200
Grape	YearInSpaceflight	+	+	0.666200
Country	Journalist	+	+	0.639336
FootballMatch	Film	+	+	0.666200
Rocket	AcademicJournal	+	+	0.666200
Mollusca	Band	+	+	0.909096
Bone	MusicGenre	+	+	0.666200
Device	EducationalInstitution	+	+	0.666200
Artist	BaseballLeague	+	+	0.666200
SportsTeam	Cleric	+	+	0.666200
Boxer	MountainRange	+	+	0.666200
PopulatedPlace	IceHockeyLeague	+	+	0.666200
EducationalInstitution	Scientist	+	+	0.666200
Disease	Grape	+	+	0.978717
Country	Cricketer	+	+	0.783079
SupremeCourtOfTheUnitedStatesCase	Airline	+	+	0.666200
WaterwayTunnel	Olympics	+	+	0.666200
Cave	LacrosseLeague	+	+	0.666200
MusicalWork	Bacteria	+	+	0.666200
Legislature	Infrastructure	+	+	0.650448
SnookerChamp	Vein	+	+	0.666200
Person	BasketballPlayer	-	+	0.666200
IceHockeyPlayer	Newspaper	+	+	0.666200
GolfLeague	SoccerClub	+	+	0.666200
School	Olympics	+	+	0.933918
AdultActor	WrestlingEvent	+	+	0.666200
ResearchProject	BasketballLeague	+	+	0.666200
TennisLeague	PersonFunction	+	+	0.666200
Journalist	TennisPlayer	-	+	0.666200
Place	Village	-	-	0.211909
FloweringPlant	LacrosseLeague	+	+	0.666200
SpaceStation	Planet	+	+	0.666200
Website	Locomotive	+	+	0.576393
TradeUnion	HistoricPlace	+	+	0.666200
College	ComicsCreator	+	+	0.666200
