concept1	concept2	correctclass	ledaclass	conf
WaterwayTunnel	Continent	+	+	0.575351
AustralianFootballLeague	BasketballTeam	+	+	0.575351
BroadcastNetwork	Locomotive	+	+	0.575351
GolfPlayer	Weapon	+	+	0.575351
Activity	ProtectedArea	+	+	0.575351
Cricketer	Bacteria	+	+	0.575351
Song	InlineHockeyLeague	+	+	0.575351
CollegeCoach	Continent	+	+	0.575351
LacrosseLeague	Ginkgo	+	+	0.575351
Game	Musical	+	+	0.575351
Settlement	RecordLabel	+	+	0.575351
Company	RecordLabel	-	-	0.049900
Fish	Saint	+	+	0.575351
MusicalWork	NascarDriver	+	+	0.575351
Activity	VolleyballLeague	+	+	0.575351
SportsEvent	GreenAlga	+	+	0.575351
TennisPlayer	Village	+	+	0.575351
Stream	Work	+	+	0.575351
President	HistoricPlace	+	+	0.575351
Election	PeriodicalLiterature	+	+	0.575351
Colour	IceHockeyPlayer	+	+	0.575351
Cricketer	Ship	+	+	0.575351
Bacteria	Legislature	+	+	0.575351
Amphibian	GrandPrix	+	+	0.575351
FootballMatch	Tunnel	+	+	0.575351
Library	Bridge	+	+	0.575351
Species	Canal	+	+	0.575351
SpaceStation	CanadianFootballLeague	+	+	0.575351
Architect	Activity	+	+	0.575351
Lake	YearInSpaceflight	+	+	0.575351
Philosopher	SportsLeague	+	+	0.575351
SoftballLeague	PublicTransitSystem	+	+	0.575351
MartialArtist	Politician	-	+	0.575351
PeriodicalLiterature	Park	+	+	0.575351
SpaceStation	AdministrativeRegion	+	+	0.575351
Gnetophytes	TelevisionEpisode	+	+	0.575351
Organisation	Device	+	+	0.575351
Ambassador	Fish	+	+	0.575351
ResearchProject	MotorcycleRacingLeague	+	-	0.185734
Fish	NascarDriver	+	+	0.575351
Stream	ChemicalCompound	+	+	0.575351
Fern	TradeUnion	+	+	0.575351
AdultActor	SportsTeam	+	+	0.575351
Grape	YearInSpaceflight	+	+	0.575351
Country	Journalist	+	+	0.575351
FootballMatch	Film	+	+	0.575351
Rocket	AcademicJournal	+	+	0.575351
Mollusca	Band	+	+	0.575351
Bone	MusicGenre	+	+	0.575351
Device	EducationalInstitution	+	+	0.575351
Artist	BaseballLeague	+	+	0.575351
SportsTeam	Cleric	+	+	0.575351
Boxer	MountainRange	+	+	0.575351
PopulatedPlace	IceHockeyLeague	+	+	0.575351
EducationalInstitution	Scientist	+	+	0.575351
Disease	Grape	+	+	0.575351
Country	Cricketer	+	+	0.575351
SupremeCourtOfTheUnitedStatesCase	Airline	+	+	0.575351
WaterwayTunnel	Olympics	+	+	0.575351
Cave	LacrosseLeague	+	+	0.575351
MusicalWork	Bacteria	+	+	0.575351
Legislature	Infrastructure	+	+	0.575351
SnookerChamp	Vein	+	+	0.575351
Person	BasketballPlayer	-	-	0.049900
IceHockeyPlayer	Newspaper	+	+	0.575351
GolfLeague	SoccerClub	+	+	0.575351
School	Olympics	+	+	0.575351
AdultActor	WrestlingEvent	+	+	0.575351
ResearchProject	BasketballLeague	+	-	0.185734
TennisLeague	PersonFunction	+	+	0.575351
Journalist	TennisPlayer	-	+	0.575351
Place	Village	-	-	0.049900
FloweringPlant	LacrosseLeague	+	+	0.575351
SpaceStation	Planet	+	+	0.575351
Website	Locomotive	+	+	0.575351
TradeUnion	HistoricPlace	+	+	0.575351
College	ComicsCreator	+	+	0.575351
Eukaryote	Continent	+	+	0.575351
Mayor	Bone	+	+	0.575351
BasketballTeam	MusicFestival	+	+	0.575351
Band	AcademicJournal	+	+	0.575351
LaunchPad	Vein	+	+	0.575351
AcademicJournal	Disease	+	+	0.575351
Work	Archaea	+	+	0.575351
Nerve	ProgrammingLanguage	+	+	0.575351
Artery	MixedMartialArtsEvent	+	+	0.575351
Artery	GrandPrix	+	+	0.575351
IceHockeyLeague	SportsTeam	+	+	0.575351
GrandPrix	Ship	+	+	0.575351
SoccerLeague	BadmintonPlayer	+	+	0.575351
Website	Place	+	+	0.575351
MilitaryUnit	PrimeMinister	+	+	0.575351
Hotel	WineRegion	+	+	0.575351
SnookerWorldRanking	Boxer	+	+	0.575351
Spacecraft	Bacteria	+	+	0.575351
Species	Monument	+	+	0.575351
Muscle	SkiArea	+	+	0.575351
Fungus	MartialArtist	+	+	0.575351
ChemicalSubstance	AmericanFootballTeam	+	+	0.575351
Broadcaster	ClubMoss	+	+	0.575351
RadioStation	BroadcastNetwork	+	-	0.185734
Broadcaster	SkiArea	+	+	0.575351
Bird	MixedMartialArtsEvent	+	+	0.575351
VideogamesLeague	IceHockeyPlayer	+	+	0.575351
Lake	WrittenWork	+	+	0.575351
MusicFestival	BaseballPlayer	+	+	0.575351
Restaurant	Play	+	+	0.575351
MusicFestival	ArchitecturalStructure	+	+	0.575351
Artist	AustralianRulesFootballPlayer	-	+	0.575351
RecordLabel	Fungus	+	+	0.575351
ChemicalCompound	SkiArea	+	+	0.575351
RouteOfTransportation	Weapon	+	+	0.575351
ProgrammingLanguage	AustralianFootballLeague	+	+	0.575351
Cardinal	Embryology	+	+	0.575351
Mollusca	Cleric	+	+	0.575351
FootballMatch	Mayor	+	+	0.575351
FilmFestival	Band	+	+	0.575351
Museum	BiologicalDatabase	+	+	0.575351
RailwayTunnel	AdministrativeRegion	+	+	0.575351
Road	AustralianFootballLeague	+	+	0.575351
AnatomicalStructure	Comedian	+	+	0.575351
Cricketer	GivenName	+	+	0.575351
Mayor	SupremeCourtOfTheUnitedStatesCase	+	+	0.575351
Saint	GovernmentAgency	+	+	0.575351
BadmintonPlayer	Game	+	+	0.575351
ClubMoss	WrestlingEvent	+	+	0.575351
ChristianBishop	Name	+	+	0.575351
Village	Device	+	+	0.575351
LaunchPad	GrandPrix	+	+	0.575351
MusicFestival	Plant	+	+	0.575351
PoloLeague	EducationalInstitution	+	+	0.575351
SpeedwayLeague	AutoRacingLeague	+	+	0.575351
RoadTunnel	Band	+	+	0.575351
BroadcastNetwork	SportsLeague	+	+	0.575351
Database	Cricketer	+	+	0.575351
Lake	HandballLeague	+	+	0.575351
AmericanFootballPlayer	Race	+	+	0.575351
University	AmericanFootballPlayer	+	+	0.575351
ChemicalSubstance	Building	+	+	0.575351
Boxer	InlineHockeyLeague	+	+	0.575351
Village	OlympicResult	+	+	0.575351
Work	SoccerLeague	+	+	0.575351
MeanOfTransportation	FloweringPlant	+	+	0.575351
PersonFunction	BasketballLeague	+	+	0.575351
MusicalWork	Planet	+	+	0.575351
MilitaryConflict	Work	+	+	0.575351
Database	Country	+	+	0.575351
YearInSpaceflight	Food	+	+	0.575351
PrimeMinister	SkiArea	+	+	0.575351
Congressman	MilitaryPerson	-	+	0.575351
PlayboyPlaymate	ArchitecturalStructure	+	+	0.575351
Website	Model	+	+	0.575351
Hotel	Airline	+	+	0.575351
Actor	Infrastructure	+	+	0.575351
Project	Cycad	+	+	0.575351
Species	Book	+	+	0.575351
Fungus	Criminal	+	+	0.575351
MilitaryUnit	Musical	+	+	0.575351
WomensTennisAssociationTournament	Holiday	+	+	0.575351
Ambassador	Work	+	+	0.575351
Moss	Island	+	+	0.575351
SportsEvent	TradeUnion	+	+	0.575351
Scientist	Newspaper	+	+	0.575351
SpeedwayLeague	Cycad	+	+	0.575351
SportsEvent	NascarDriver	+	+	0.575351
SportsTeam	Activity	+	+	0.575351
Brain	Senator	+	+	0.575351
WrittenWork	MartialArtist	+	+	0.575351
Athlete	Software	+	+	0.575351
Bone	BaseballPlayer	+	+	0.575351
Amphibian	SpaceMission	+	+	0.575351
Airline	ArchitecturalStructure	+	+	0.575351
GivenName	MountainRange	+	+	0.575351
MartialArtist	Automobile	+	+	0.575351
Saint	Criminal	-	+	0.575351
HandballLeague	Airline	+	+	0.575351
LunarCrater	Athlete	+	+	0.575351
Bridge	Moss	+	+	0.575351
Newspaper	LacrosseLeague	+	+	0.575351
MountainRange	FilmFestival	+	+	0.575351
Museum	Company	+	+	0.575351
Book	Island	+	+	0.575351
Museum	Project	+	+	0.575351
ChemicalCompound	Activity	+	+	0.575351
FormulaOneRacer	PersonFunction	+	+	0.575351
Athlete	BasketballPlayer	-	-	0.049900
Settlement	EducationalInstitution	+	+	0.575351
Eukaryote	Name	+	+	0.575351
BaseballLeague	HistoricBuilding	+	+	0.575351
WrittenWork	WineRegion	+	+	0.575351
Artery	ResearchProject	+	+	0.575351
Country	GivenName	+	+	0.575351
TennisLeague	IceHockeyPlayer	+	+	0.575351
Album	Person	+	+	0.575351
Island	Bone	+	+	0.575351
Continent	AustralianFootballLeague	+	+	0.575351
AnatomicalStructure	Grape	+	+	0.575351
Mammal	IceHockeyPlayer	+	+	0.575351
Senator	Island	+	+	0.575351
SnookerChamp	LaunchPad	+	+	0.575351
Event	GreenAlga	+	+	0.575351
Journalist	Organisation	+	+	0.575351
Vein	AustralianRulesFootballPlayer	+	+	0.575351
NaturalPlace	Cleric	+	+	0.575351
BaseballLeague	BroadcastNetwork	+	+	0.575351
Scientist	InlineHockeyLeague	+	+	0.575351
Disease	WomensTennisAssociationTournament	+	+	0.575351
Fish	Lighthouse	+	+	0.575351
PoloLeague	MilitaryUnit	+	+	0.575351
Philosopher	LacrosseLeague	+	+	0.575351
Actor	Currency	+	+	0.575351
Philosopher	NationalCollegiateAthleticAssociationAthlete	-	+	0.575351
GrandPrix	WineRegion	+	+	0.575351
BodyOfWater	Amphibian	+	+	0.575351
MartialArtist	Person	-	-	0.049900
GaelicGamesPlayer	Town	+	+	0.575351
Saint	Fungus	+	+	0.575351
Station	Fern	+	+	0.575351
